hidden_dim,num_layers,dropout,learning_rate,weight_decay,batch_size,max_epochs,patience,best_epoch,train_rmse,train_r2,train_pearson,val_rmse,val_r2,val_pearson,test_rmse,test_r2,test_pearson,trial,elapsed_seconds
256,6,0.15,0.0005,1e-05,32,300,50,23,0.7327646089371049,0.4820164442062378,0.7373152852030174,0.6585840996049918,0.454101026058197,0.7017144899355003,0.7707997435047216,0.06230670213699341,0.5561604841522234,230,103.88
128,6,0.05,0.0001,1e-06,32,300,50,45,0.5374846933092731,0.7213114500045776,0.8539664325002858,0.6591885940515191,0.45309847593307495,0.7050273585355741,0.6689069973630234,0.29383015632629395,0.6676612166268627,136,83.15
64,2,0.15,0.001,1e-06,32,300,50,40,0.5361346468868038,0.7227096557617188,0.8605628839164374,0.6601174698674475,0.45155608654022217,0.7026659890881874,0.7037484054479608,0.2183496356010437,0.6382240007542684,16,28.82
256,2,0.05,0.0001,1e-06,32,300,50,35,0.5495740227082934,0.7086336612701416,0.846304089667202,0.6603593006148885,0.4511541724205017,0.6946486238626505,0.659042886737904,0.31450384855270386,0.6747779887611491,163,54.02
256,4,0.05,0.0001,0.0001,32,300,50,23,0.5849979242467326,0.669861912727356,0.8332431844302512,0.6623732454572204,0.4478013515472412,0.7014236021274352,0.6830437763924394,0.26366615295410156,0.6686255248444133,192,76.17
128,6,0.2,0.0005,1e-05,32,300,50,54,0.5404837021271696,0.7181927561759949,0.8549971841644379,0.6629525501322723,0.4468350410461426,0.7118057870493029,0.7252665621612995,0.16981858015060425,0.6514067609200574,158,91.26
256,2,0.15,0.001,1e-05,32,300,50,30,0.569083208422699,0.6875802278518677,0.8642935242792578,0.6635797653359411,0.44578784704208374,0.7097409762979476,0.721829782035804,0.17766785621643066,0.6248862828212787,179,50.65
64,2,0.05,0.001,1e-06,32,300,50,54,0.37077291573321963,0.8673818707466125,0.9331850914306915,0.6648614901227765,0.4436448812484741,0.7267314282075299,0.7497936600721069,0.11271893978118896,0.6302577257473493,7,35.64
64,2,0.2,0.001,0.0001,32,300,50,57,0.5671816549709319,0.6896646022796631,0.8344750093737058,0.6658088833048119,0.44205814599990845,0.6855932624233128,0.6791778934073528,0.2719775438308716,0.6450224550718948,27,30.53
256,4,0.05,0.0001,1e-05,32,300,50,25,0.5503059663227672,0.707857072353363,0.8493095463762704,0.6658151274457099,0.442047655582428,0.6900479596071757,0.657669530269049,0.31735777854919434,0.6668589019019684,191,77.65
256,6,0.15,0.0001,1e-06,32,300,50,35,0.5806204575770548,0.6747841835021973,0.8273161399225396,0.6674394350757011,0.4393220543861389,0.6938526925432362,0.697184133175287,0.2328634262084961,0.6537757561141759,226,121.08
256,6,0.15,0.0001,0.0001,32,300,50,28,0.6184064200187726,0.6310776472091675,0.7970441818051471,0.6676191340797477,0.4390200972557068,0.6859526716707974,0.6697137359165156,0.29212576150894165,0.6618112988756347,228,111.86
256,6,0.2,0.0005,1e-06,32,300,50,50,0.5406039492968453,0.7180672883987427,0.877884152030486,0.6678733980708301,0.43859267234802246,0.7360612876397266,0.8142268829437309,-0.04632973670959473,0.5960326873056401,238,112.11
